code,gu_hang
1123075,강남구_수서동
1123076,강남구_세곡동
1123077,강남구_압구정동
1123078,강남구_청담동
1123079,강남구_대치2동
1123080,강남구_개포2동
1124051,송파구_풍납1동
1124052,송파구_풍납2동
1124053,송파구_거여1동
1124054,송파구_거여2동
1124055,송파구_마천1동
1124056,송파구_마천2동
1124057,송파구_방이1동
1124058,송파구_방이2동
1124059,송파구_오륜동
1124060,송파구_오금동
1124061,송파구_송파1동
1124062,송파구_송파2동
1124063,송파구_석촌동
1124064,송파구_삼전동
1124065,송파구_가락본동
1124066,송파구_가락1동
1124067,송파구_가락2동
1124068,송파구_문정1동
1124069,송파구_문정2동
1124071,송파구_잠실본동
1124075,송파구_잠실4동
1124077,송파구_잠실6동
1124078,송파구_잠실7동
1124079,송파구_잠실2동
1124080,송파구_잠실3동
1124081,송파구_장지동
1124082,송파구_위례동
1125051,강동구_강일동
1125052,강동구_상일동
1125053,강동구_명일1동
1125054,강동구_명일2동
1125055,강동구_고덕1동
1125056,강동구_고덕2동
1125058,강동구_암사2동
1125059,강동구_암사3동
1125061,강동구_천호1동
1125063,강동구_천호3동
1125065,강동구_성내1동
1125066,강동구_성내2동
1125067,강동구_성내3동
1125070,강동구_둔촌1동
1125071,강동구_둔촌2동
1125072,강동구_암사1동
1125073,강동구_천호2동
1125074,강동구_길동
