자치구,행정동,성별,연령대,총인구,1인가구,사회성,평일이동,휴일이동,기타이동,적은이동,많은이동,영상,생활,재정,"이동-
사회성"
강남구,대치4동,1,80,103,30,2,4,0,1,1,0,2,0,2,5
강남구,대치4동,1,85,27,9,0,0,1,0,0,0,0,0,0,0
강남구,대치4동,1,90,5,3,0,0,0,0,0,0,0,0,0,0
강남구,대치4동,2,20,789,239,15,30,19,21,0,20,18,12,9,0
강남구,대치4동,2,25,"1,010",227,17,12,17,15,0,30,16,27,11,0
강남구,대치4동,2,30,"1,247",183,11,11,17,13,0,40,16,22,21,0
강남구,대치4동,2,35,"1,004",144,13,3,7,5,0,30,15,21,8,0
강남구,대치4동,2,40,"1,130",113,20,15,22,13,0,21,26,30,27,0
강남구,대치4동,2,45,"1,265",96,11,14,12,19,0,15,13,21,11,0
강남구,대치4동,2,50,877,66,10,8,9,10,0,4,11,9,14,0
강남구,대치4동,2,55,597,49,8,3,8,4,0,3,6,9,7,0
강남구,대치4동,2,60,421,60,8,18,11,17,0,2,12,9,6,0
강남구,대치4동,2,65,379,84,5,11,11,10,0,1,9,10,14,0
강남구,대치4동,2,70,249,57,6,10,0,11,0,1,6,6,6,0
강남구,대치4동,2,75,172,56,2,5,3,5,1,1,1,4,6,2
강남구,대치4동,2,80,84,26,1,2,0,2,0,0,2,2,4,2
강남구,대치4동,2,85,21,5,1,1,0,0,0,0,0,0,0,0
강남구,대치4동,2,90,9,4,0,1,0,1,0,0,1,0,0,2
강남구,도곡1동,1,20,670,215,15,16,13,20,0,17,21,13,7,0
강남구,도곡1동,1,25,742,233,24,14,17,21,0,30,23,29,27,0
강남구,도곡1동,1,30,839,168,15,17,13,18,0,34,15,13,15,0
강남구,도곡1동,1,35,778,156,14,5,20,4,0,34,8,7,11,0
강남구,도곡1동,1,40,789,117,18,12,18,9,0,20,11,17,17,0
강남구,도곡1동,1,45,893,135,20,13,13,10,0,24,20,12,17,0
강남구,도곡1동,1,50,867,126,22,8,17,9,0,9,17,11,30,0
강남구,도곡1동,1,55,829,110,16,10,17,9,0,8,13,13,13,0
